,kernel,dimension,n_iters,calibrated,statistic,sample
526,matern32,100,27,weightedmean,-5.349398042582589,105
527,matern32,100,28,gpkern,4.334869518180222,105
528,matern32,100,28,noise,4.972183273495758,105
529,matern32,100,28,spectrum,4.840184733485536,105
530,matern32,100,27,none,-5.507525270534886,106
531,matern32,100,28,weightedmean,-5.131407325694424,106
532,matern32,100,28,gpkern,3.3739132543618213,106
533,matern32,100,28,noise,3.695987971255005,106
534,matern32,100,28,spectrum,3.529175767237559,106
535,matern32,100,28,none,-6.873540263476688,107
536,matern32,100,28,weightedmean,-6.37575773634587,107
537,matern32,100,28,gpkern,2.970291485976862,107
538,matern32,100,28,noise,2.8061520547567,107
539,matern32,100,28,spectrum,2.5627755085810158,107
540,matern32,100,27,none,-5.550491273809929,108
541,matern32,100,27,weightedmean,-5.245043006184217,108
542,matern32,100,28,gpkern,2.3728106365326864,108
543,matern32,100,28,noise,2.609698189009376,108
544,matern32,100,28,spectrum,2.166846282656787,108
545,matern32,100,28,none,-6.417745617869007,109
546,matern32,100,28,weightedmean,-6.094398973848741,109
547,matern32,100,29,gpkern,3.649790161870924,109
548,matern32,100,29,noise,3.6058997573290137,109
549,matern32,100,29,spectrum,3.2748077825707047,109
550,matern32,100,28,none,-5.619734417802719,110
551,matern32,100,28,weightedmean,-5.193429583306194,110
552,matern32,100,28,gpkern,3.8529317922718507,110
553,matern32,100,28,noise,3.575288232481571,110
554,matern32,100,28,spectrum,3.1255134843653556,110
